
2024/12/29 (17:57:50) | ===> btop++ v.1.4.0
2024/12/29 (17:57:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (17:58:45) | ===> btop++ v.1.4.0
2024/12/29 (17:58:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (17:59:06) | ===> btop++ v.1.4.0
2024/12/29 (17:59:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (18:01:03) | ===> btop++ v.1.4.0
2024/12/29 (18:01:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (21:30:48) | ===> btop++ v.1.4.0
2024/12/29 (21:30:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (08:21:25) | ===> btop++ v.1.4.0
2024/12/30 (08:21:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (08:41:13) | ===> btop++ v.1.4.0
2024/12/30 (08:41:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (20:27:14) | ===> btop++ v.1.4.0
2024/12/30 (20:27:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (20:27:20) | ===> btop++ v.1.4.0
2024/12/30 (20:27:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (11:59:03) | ===> btop++ v.1.4.0
2024/12/31 (11:59:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (09:57:17) | ===> btop++ v.1.4.0
2025/01/02 (09:57:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (17:06:02) | ===> btop++ v.1.4.0
2025/01/02 (17:06:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (17:35:56) | ===> btop++ v.1.4.0
2025/01/02 (17:35:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (19:57:36) | ===> btop++ v.1.4.0
2025/01/06 (19:57:36) | WARNING: Intel GPU: Failed to initialize PMU
